Date,Num Highs,Num Lows,Strength
1996-01-02,131,12,91.6083916083916
1996-01-03,131,12,91.6083916083916
1996-01-04,123,13,90.44117647058825
1996-01-05,114,11,91.2
1996-01-08,119,12,90.83969465648856
1996-01-09,109,13,89.34426229508196
1996-01-10,84,17,83.16831683168317
1996-01-11,91,15,85.84905660377359
1996-01-12,92,16,85.18518518518519
1996-01-15,90,17,84.11214953271028
1996-01-16,107,18,85.6
1996-01-17,106,19,84.8
1996-01-18,109,19,85.15625
1996-01-19,107,19,84.92063492063492
1996-01-22,116,14,89.23076923076924
1996-01-23,116,15,88.54961832061069
1996-01-24,123,14,89.78102189781022
1996-01-25,117,13,90.0
1996-01-26,123,14,89.78102189781022
1996-01-29,119,14,89.47368421052632
1996-01-30,130,15,89.65517241379311
1996-01-31,137,12,91.94630872483222
1996-02-01,144,12,92.3076923076923
1996-02-02,134,11,92.41379310344828
1996-02-05,131,9,93.57142857142856
1996-02-06,141,11,92.76315789473684
1996-02-07,146,9,94.19354838709675
1996-02-08,152,8,95.0
1996-02-09,153,7,95.625
1996-02-12,160,7,95.80838323353294
1996-02-13,157,8,95.15151515151516
1996-02-14,154,8,95.06172839506172
1996-02-15,146,9,94.19354838709675
1996-02-16,144,8,94.73684210526316
1996-02-20,132,11,92.3076923076923
1996-02-21,141,8,94.63087248322148
1996-02-22,152,9,94.40993788819875
1996-02-23,143,9,94.07894736842104
1996-02-26,133,10,93.006993006993
1996-02-27,132,8,94.28571428571428
1996-02-28,122,9,93.12977099236642
1996-02-29,110,12,90.1639344262295
1996-03-01,118,14,89.39393939393939
1996-03-04,131,13,90.9722222222222
1996-03-05,138,12,92.0
1996-03-06,135,13,91.2162162162162
1996-03-07,137,13,91.33333333333331
1996-03-08,89,13,87.25490196078431
1996-03-11,104,13,88.88888888888889
1996-03-12,98,14,87.5
1996-03-13,109,12,90.08264462809916
1996-03-14,117,13,90.0
1996-03-15,108,12,90.0
1996-03-18,135,9,93.75
1996-03-19,130,9,93.5251798561151
1996-03-20,126,9,93.33333333333331
1996-03-21,125,10,92.5925925925926
1996-03-22,131,10,92.90780141843972
1996-03-25,130,12,91.54929577464787
1996-03-26,127,11,92.02898550724638
1996-03-27,121,11,91.66666666666666
1996-03-28,121,11,91.66666666666666
1996-03-29,112,12,90.32258064516128
1996-04-01,118,11,91.47286821705426
1996-04-02,121,12,90.97744360902256
1996-04-03,119,12,90.83969465648856
1996-04-04,117,12,90.69767441860463
1996-04-08,88,13,87.12871287128714
1996-04-09,87,15,85.29411764705883
1996-04-10,70,16,81.3953488372093
1996-04-11,65,17,79.26829268292683
1996-04-12,74,14,84.0909090909091
1996-04-15,88,14,86.27450980392157
1996-04-16,90,15,85.71428571428571
1996-04-17,91,15,85.84905660377359
1996-04-18,93,11,89.42307692307693
1996-04-19,88,13,87.12871287128714
1996-04-22,94,13,87.85046728971963
1996-04-23,96,11,89.7196261682243
1996-04-24,95,13,87.96296296296296
1996-04-25,102,14,87.93103448275862
1996-04-26,103,13,88.79310344827587
1996-04-29,105,10,91.30434782608695
1996-04-30,111,11,90.98360655737704
1996-05-01,107,10,91.45299145299144
1996-05-02,91,14,86.66666666666667
1996-05-03,85,14,85.85858585858585
1996-05-06,85,14,85.85858585858585
1996-05-07,71,14,83.52941176470588
1996-05-08,84,12,87.5
1996-05-09,84,14,85.71428571428571
1996-05-10,94,12,88.67924528301887
1996-05-13,110,8,93.22033898305084
1996-05-14,112,9,92.56198347107438
1996-05-15,110,8,93.22033898305084
1996-05-16,110,7,94.017094017094
1996-05-17,118,9,92.91338582677166
1996-05-20,124,10,92.53731343283582
1996-05-21,124,11,91.85185185185183
1996-05-22,135,10,93.10344827586206
1996-05-23,130,9,93.5251798561151
1996-05-24,132,11,92.3076923076923
1996-05-28,118,12,90.76923076923076
1996-05-29,107,11,90.67796610169492
1996-05-30,114,11,91.2
1996-05-31,110,13,89.43089430894308
1996-06-03,110,16,87.3015873015873
1996-06-04,117,13,90.0
1996-06-05,124,10,92.53731343283582
1996-06-06,111,11,90.98360655737704
1996-06-07,107,14,88.42975206611571
1996-06-10,101,14,87.82608695652175
1996-06-11,96,14,87.27272727272727
1996-06-12,97,14,87.38738738738738
1996-06-13,94,18,83.92857142857143
1996-06-14,85,19,81.73076923076923
1996-06-17,78,19,80.41237113402062
1996-06-18,73,19,79.34782608695652
1996-06-19,78,18,81.25
1996-06-20,72,18,80.0
1996-06-21,86,17,83.49514563106796
1996-06-24,91,16,85.04672897196261
1996-06-25,93,18,83.78378378378379
1996-06-26,88,20,81.48148148148148
1996-06-27,96,19,83.47826086956522
1996-06-28,102,15,87.17948717948718
1996-07-01,105,17,86.0655737704918
1996-07-02,100,15,86.95652173913044
1996-07-03,96,14,87.27272727272727
1996-07-05,73,24,75.25773195876289
1996-07-08,64,24,72.72727272727273
1996-07-09,63,24,72.41379310344827
1996-07-10,71,24,74.73684210526315
1996-07-11,48,29,62.33766233766234
1996-07-12,48,28,63.1578947368421
1996-07-15,26,35,42.62295081967213
1996-07-16,22,37,37.28813559322034
1996-07-17,29,36,44.61538461538462
1996-07-18,50,34,59.523809523809526
1996-07-19,35,34,50.72463768115942
1996-07-22,35,36,49.29577464788733
1996-07-23,24,38,38.70967741935484
1996-07-24,24,42,36.36363636363637
1996-07-25,31,42,42.465753424657535
1996-07-26,37,39,48.68421052631579
1996-07-29,31,40,43.66197183098591
1996-07-30,35,43,44.87179487179488
1996-07-31,43,41,51.19047619047619
1996-08-01,53,37,58.88888888888889
1996-08-02,68,29,70.10309278350515
1996-08-05,64,30,68.08510638297872
1996-08-06,73,28,72.27722772277228
1996-08-07,75,25,75.0
1996-08-08,77,25,75.49019607843137
1996-08-09,78,24,76.47058823529412
1996-08-12,84,24,77.77777777777779
1996-08-13,76,27,73.7864077669903
1996-08-14,79,27,74.52830188679245
1996-08-15,81,29,73.63636363636363
1996-08-16,83,25,76.85185185185185
1996-08-19,86,23,78.89908256880734
1996-08-20,90,26,77.58620689655173
1996-08-21,83,24,77.57009345794393
1996-08-22,94,21,81.73913043478261
1996-08-23,91,26,77.77777777777779
1996-08-26,89,26,77.39130434782608
1996-08-27,89,25,78.0701754385965
1996-08-28,90,25,78.26086956521739
1996-08-29,78,25,75.72815533980582
1996-08-30,65,28,69.89247311827957
1996-09-03,68,31,68.68686868686868
1996-09-04,74,29,71.84466019417476
1996-09-05,62,33,65.26315789473685
1996-09-06,75,29,72.11538461538461
1996-09-09,86,27,76.10619469026548
1996-09-10,90,30,75.0
1996-09-11,91,32,73.98373983739837
1996-09-12,98,30,76.5625
