Date,Breadth Ratio
1996-01-02,0.5
1996-01-03,0.21556888708257665
1996-01-04,0.2698228290562645
1996-01-05,0.6047799239481484
1996-01-08,0.6374180820161728
1996-01-09,0.07764787274531862
1996-01-10,0.646798979889394
1996-01-11,0.9067136283891144
1996-01-12,0.18151214992052178
1996-01-15,0.3992062598410973
1996-01-16,0.9020707928365369
1996-01-17,0.3156937618242787
1996-01-18,0.41183570731016755
1996-01-19,0.4746346931930703
1996-01-22,0.882475745702143
1996-01-23,0.8245683978970179
1996-01-24,0.8931569522689522
1996-01-25,0.13650849955623462
1996-01-26,0.8568257595299635
1996-01-29,0.21759196274231588
1996-01-30,0.40421230486466486
1996-01-31,0.805737925908313
1996-02-01,0.8082867024098052
1996-02-02,0.6595692985818082
1996-02-05,0.6085473220072779
1996-02-06,0.7007643458043104
1996-02-07,0.32346813841305466
1996-02-08,0.5906468498872386
1996-02-09,0.47770774288165885
1996-02-12,0.6629483734600826
1996-02-13,0.4426021032216815
1996-02-14,0.39895128452704454
1996-02-15,0.5408956013099816
1996-02-16,0.3649933639250016
1996-02-20,0.5788963463348968
1996-02-21,0.8788075226112626
1996-02-22,0.9529795527294262
1996-02-23,0.4382379403779844
1996-02-26,0.24592854548872362
1996-02-27,0.15713902381405195
1996-02-28,0.3085491347486354
1996-02-29,0.20510692493099822
1996-03-01,0.24705826686972385
1996-03-04,0.4652751398048652
1996-03-05,0.8093058398559136
1996-03-06,0.22337209944548309
1996-03-07,0.37921371376271845
1996-03-08,0.2824441844208799
1996-03-11,0.7256612469962905
1996-03-12,0.31659047562016823
1996-03-13,0.7264246564078539
1996-03-14,0.383951583631477
1996-03-15,0.7524268392911084
1996-03-18,0.8773210320805448
1996-03-19,0.31080081154595346
1996-03-20,0.21872577652493552
1996-03-21,0.30751160353538093
1996-03-22,0.6996554520218446
1996-03-25,0.16212054495267095
1996-03-26,0.4657989170724987
1996-03-27,0.7025187443428622
1996-03-28,0.3274483183260392
1996-03-29,0.544750386102711
1996-04-01,0.6758957695996402
1996-04-02,0.5192731168467424
1996-04-03,0.4201856064438989
1996-04-04,0.338883104786192
1996-04-08,0.3696272308286349
1996-04-09,0.39418533683704066
1996-04-10,0.28071663279340753
1996-04-11,0.38817907376036204
1996-04-12,0.546181661019506
1996-04-15,0.705090180816451
1996-04-16,0.8046039596841964
1996-04-17,0.3394055632006875
1996-04-18,0.5901595319590603
1996-04-19,0.639357283601379
1996-04-22,0.6616885867529427
1996-04-23,0.6047440083949748
1996-04-24,0.552804395539261
1996-04-25,0.5541991684176242
1996-04-26,0.4326659587679729
1996-04-29,0.283676442161599
1996-04-30,0.3013574459125034
1996-05-01,0.6157535939596689
1996-05-02,0.20089703766885508
1996-05-03,0.49318596872360143
1996-05-06,0.7119514212711111
1996-05-07,0.6121232675144601
1996-05-08,0.513960881863827
1996-05-09,0.3089053494157661
1996-05-10,0.8678406462881681
1996-05-13,0.6537682761433957
1996-05-14,0.8583883742794559
1996-05-15,0.4750850815884527
1996-05-16,0.395072692909425
1996-05-17,0.4689072004323924
1996-05-20,0.6392963538354915
1996-05-21,0.2719990210999567
1996-05-22,0.44843389039213877
1996-05-23,0.4819102476007512
1996-05-24,0.5802083658122671
1996-05-28,0.2548806040097364
1996-05-29,0.10402030139116095
1996-05-30,0.7139793802364988
1996-05-31,0.6908134827362851
1996-06-03,0.3699979653291518
1996-06-04,0.25106693370906225
1996-06-05,0.8084858592460548
1996-06-06,0.12572892360808743
1996-06-07,0.6973315812925707
1996-06-10,0.30226702515441795
1996-06-11,0.49415710292577825
1996-06-12,0.6615990709530599
1996-06-13,0.493922671212873
1996-06-14,0.1446664104233706
1996-06-17,0.26930147530842585
1996-06-18,0.08827351107334916
1996-06-19,0.5738308691552813
1996-06-20,0.27662821805945015
1996-06-21,0.670172709162349
1996-06-24,0.49097804193816086
1996-06-25,0.44886268842411986
1996-06-26,0.0832879314668395
1996-06-27,0.7489910749630201
1996-06-28,0.6490130337697972
1996-07-01,0.8173865383507204
1996-07-02,0.3057888540414208
1996-07-03,0.23293825035133
1996-07-05,0.2300107409457211
1996-07-08,0.36313939039296195
1996-07-09,0.47960474169549555
1996-07-10,0.31579517394681283
1996-07-11,0.05204444180456979
1996-07-12,0.6280604509101438
1996-07-15,0.043106338240208646
1996-07-16,0.4754515232518878
1996-07-17,0.6357999408308275
1996-07-18,0.9225162513913849
1996-07-19,0.30929541178441
1996-07-22,0.0993748123151415
1996-07-23,0.19727858628023276
1996-07-24,0.6409683303144827
1996-07-25,0.8390666376896178
1996-07-26,0.8475596673639106
1996-07-29,0.3946754334602469
1996-07-30,0.6280377811487364
1996-07-31,0.6561767308466869
1996-08-01,0.745484603741574
1996-08-02,0.9470010736755721
1996-08-05,0.2540649199418624
1996-08-06,0.8009070946268095
1996-08-07,0.8667624404321342
1996-08-08,0.38188525712395205
1996-08-09,0.5672096983314335
1996-08-12,0.5427315061942881
1996-08-13,0.08485168566436817
1996-08-14,0.669994538673824
1996-08-15,0.47729603634129836
1996-08-16,0.5867364846522244
1996-08-19,0.6296634733330085
1996-08-20,0.1979316243120608
1996-08-21,0.4926139551476283
1996-08-22,0.8447236148255081
1996-08-23,0.4924043396059337
1996-08-26,0.36291019654251255
1996-08-27,0.7896812644240421
1996-08-28,0.49219407970949547
1996-08-29,0.13728627732596818
1996-08-30,0.07594309359440829
1996-09-03,0.6003830410755421
1996-09-04,0.5025912394097672
1996-09-05,0.08220868655050428
1996-09-06,0.8640240403433215
1996-09-09,0.6237161851796436
