Date,Bull-Bear Spread
1987-06-26,50.0
1987-07-17,50.0
1987-07-24,78.91817065222529
1987-07-31,50.0
1987-08-07,83.47951298093854
1987-08-14,81.75744761936437
1987-08-21,97.3403006423134
1987-08-28,78.91817065222529
1987-09-04,51.49955016194101
1987-09-11,79.89910002494707
1987-09-18,94.97887268097335
1987-09-25,79.89910002494707
1987-10-02,69.84652160025388
1987-10-09,86.5296948047972
1987-10-16,55.97136492671929
1987-10-23,61.7747874769249
1987-10-30,65.92603884513855
1987-11-06,81.75744761936437
1987-11-13,54.487889237358
1987-11-20,76.85247834990176
1987-11-27,50.0
1987-12-04,26.50274005334812
1987-12-11,36.81875822638984
1987-12-18,58.90404340586651
1987-12-24,61.7747874769249
1987-12-31,48.50044983805899
1988-01-08,69.84652160025388
1988-01-15,61.7747874769249
1988-01-22,35.43436937742045
1988-01-29,45.512110762642
1988-02-05,73.49725994665188
1988-02-12,64.56563062257955
1988-02-19,54.48788923735801
1988-02-26,65.92603884513855
1988-03-04,72.31218051243899
1988-03-11,82.6353352980995
1988-03-18,86.52969480479719
1988-03-25,84.29045311145474
1988-04-01,71.09495026250039
1988-04-08,69.84652160025388
1988-04-15,48.500449838059
1988-04-22,54.487889237358
1988-04-29,38.2252125230751
1988-05-06,74.64939833376621
1988-05-13,41.09595659413349
1988-05-20,47.00359482354283
1988-05-27,61.7747874769249
1988-06-03,69.84652160025388
1988-06-10,57.4442516811659
1988-06-17,61.7747874769249
1988-06-24,64.56563062257955
1988-07-01,84.29045311145474
1988-07-08,76.85247834990176
1988-07-15,34.07396115486146
1988-07-22,35.43436937742045
1988-07-29,50.0
1988-08-05,36.81875822638984
1988-08-12,50.0
1988-08-19,36.81875822638983
1988-08-26,44.02863507328071
1988-09-02,22.097389222018784
1988-09-09,30.153478399746124
1988-09-16,41.09595659413349
1988-09-23,39.651675013527374
1988-09-30,44.02863507328071
1988-10-07,18.24255238063564
1988-10-14,35.43436937742045
1988-10-21,54.487889237358
1988-10-28,74.64939833376621
1988-11-04,72.31218051243897
1988-11-11,52.99640517645717
1988-11-18,41.09595659413349
1988-11-25,21.08182934777471
1988-12-02,28.9050497374996
1988-12-09,21.08182934777471
1988-12-16,52.99640517645717
1988-12-23,35.43436937742045
1988-12-30,52.99640517645717
1989-01-06,54.487889237358
1989-01-13,72.31218051243897
1989-01-20,75.76796390037049
1989-01-27,68.56801139382537
1989-02-03,64.56563062257955
1989-02-10,73.49725994665188
1989-02-17,81.75744761936437
1989-02-24,54.487889237358
1989-03-03,39.651675013527374
1989-03-10,21.081829347774715
1989-03-17,48.500449838059
1989-03-23,48.50044983805899
1989-03-31,21.08182934777471
1989-04-07,36.81875822638984
1989-04-14,38.2252125230751
1989-04-21,39.65167501352737
1989-04-28,52.99640517645717
1989-05-05,50.0
1989-05-12,75.76796390037049
1989-05-19,80.84546514385325
1989-05-26,83.47951298093854
1989-06-02,65.92603884513855
1989-06-09,76.85247834990176
1989-06-16,51.49955016194101
1989-06-23,32.73929829322395
1989-06-30,69.84652160025388
1989-07-07,58.90404340586651
1989-07-14,17.3646647019005
1989-07-21,54.48788923735801
1989-07-28,60.34832498647263
1989-08-04,50.0
1989-08-11,83.47951298093854
1989-08-18,47.00359482354282
1989-08-25,69.84652160025388
1989-09-01,47.003594823542834
1989-09-08,35.43436937742045
1989-09-15,58.90404340586651
1989-09-22,28.9050497374996
1989-09-29,55.9713649267193
1989-10-06,36.81875822638983
1989-10-13,61.7747874769249
1989-10-20,58.90404340586651
1989-10-27,57.444251681165895
1989-11-03,57.444251681165895
1989-11-10,36.81875822638984
1989-11-17,19.15453485614675
1989-11-22,41.09595659413349
1989-12-01,44.02863507328071
1989-12-08,54.487889237358
1989-12-15,69.84652160025388
1989-12-22,55.97136492671929
1989-12-29,51.499550161941
1990-01-05,64.56563062257955
1990-01-12,84.29045311145474
1990-01-19,65.92603884513855
1990-01-26,30.153478399746124
1990-02-02,12.131883789173688
1990-02-09,12.786156631908137
1990-02-16,34.07396115486145
1990-02-23,30.153478399746124
1990-03-02,22.097389222018784
1990-03-09,30.153478399746124
1990-03-16,28.9050497374996
1990-03-23,68.56801139382537
1990-03-30,54.48788923735801
1990-04-06,68.56801139382537
1990-04-12,64.56563062257955
1990-04-20,65.92603884513855
1990-04-27,36.81875822638984
1990-05-04,18.24255238063564
1990-05-11,41.09595659413349
1990-05-18,63.18124177361016
1990-05-25,64.56563062257955
1990-06-01,52.99640517645717
1990-06-08,57.444251681165895
1990-06-15,74.64939833376621
1990-06-22,50.0
1990-06-29,39.651675013527374
1990-07-06,35.43436937742046
1990-07-13,64.56563062257955
1990-07-20,64.56563062257955
1990-07-27,84.29045311145474
1990-08-03,23.14752165009824
1990-08-10,14.931293453084372
1990-08-17,7.871033717053521
1990-08-24,17.3646647019005
1990-08-31,9.279295311715702
1990-09-07,27.687819487561026
1990-09-14,10.909682119561298
1990-09-21,7.04367308928171
1990-09-28,15.709546888545272
1990-10-05,6.660803557509071
1990-10-12,13.470305195202808
1990-10-19,3.768789050860588
1990-10-26,10.909682119561298
1990-11-02,19.15453485614675
1990-11-09,15.709546888545278
1990-11-16,7.04367308928171
1990-11-21,13.470305195202814
1990-11-30,20.10089997505294
1990-12-07,28.90504973749961
1990-12-14,39.651675013527374
1990-12-21,11.506673204554986
1990-12-28,35.43436937742045
1991-01-04,51.49955016194101
1991-01-11,17.3646647019005
1991-01-18,14.931293453084372
1991-01-25,18.24255238063564
1991-02-01,31.431988606174617
1991-02-08,50.0
1991-02-15,78.91817065222529
