,^GSPC
2000-01-04,50.0
2000-01-05,24.365024521731428
2000-01-06,25.715909482604683
2000-01-07,26.555608568793303
2000-01-10,44.312776187613046
2000-01-11,52.57266772009947
2000-01-12,42.90666408027186
2000-01-13,39.903552953893254
2000-01-14,48.78536029543043
2000-01-18,56.627890815392746
2000-01-19,51.473278707392964
2000-01-20,51.835674827483466
2000-01-21,46.56267857368727
2000-01-24,44.49395609822708
2000-01-25,26.346593649129602
2000-01-26,30.17092616974924
2000-01-27,27.944220045275575
2000-01-28,26.01117160091759
2000-01-31,14.02828568690162
2000-02-01,25.250957727364597
2000-02-02,31.73583796791761
2000-02-03,31.922060602133516
2000-02-04,39.61038746947028
2000-02-07,39.47507203705437
2000-02-08,39.571428750114194
2000-02-09,48.51547380244188
2000-02-10,33.80419526514626
2000-02-11,36.427587285624654
2000-02-14,23.933379038632896
2000-02-15,25.333541341627935
2000-02-16,30.658386872353493
2000-02-17,25.003920040882
2000-02-18,25.550000313751365
2000-02-22,12.793492930256905
2000-02-23,14.607433726441787
2000-02-24,17.308240005526887
2000-02-25,15.578139329073876
2000-02-28,11.119421084134284
2000-02-29,14.874161083956123
2000-03-01,20.76993709115662
2000-03-02,25.834396392700796
2000-03-03,27.18427490312593
2000-03-06,40.05170807578145
2000-03-07,31.712758285599087
2000-03-08,18.341077644939247
2000-03-09,22.422113784871666
2000-03-10,37.82280846971818
2000-03-13,34.82992509099903
2000-03-14,29.8547298338253
2000-03-15,20.60472528242294
2000-03-16,34.44932140147676
2000-03-17,67.76749312105352
2000-03-20,70.16955046884861
2000-03-21,66.35151376360002
2000-03-22,80.82984547051046
2000-03-23,82.56440829229712
2000-03-24,88.90216152277395
2000-03-27,88.57225252784633
2000-03-28,87.42327983076392
2000-03-29,82.83670765481332
2000-03-30,82.69377835532924
2000-03-31,75.29474029105846
2000-04-03,78.83735695990794
2000-04-04,80.92470329114843
2000-04-05,76.6822410343512
2000-04-06,73.4944668876055
2000-04-07,78.40625516851625
2000-04-10,82.85740644632598
2000-04-11,78.68376800449492
2000-04-12,76.94494914108631
2000-04-13,62.29278042625478
2000-04-14,48.714496007996296
2000-04-17,14.555044878557544
2000-04-18,30.511085208062305
2000-04-19,50.325563271969955
2000-04-20,43.120539392274694
2000-04-24,46.81257339758567
2000-04-25,44.48308199173611
2000-04-26,68.06600835504861
2000-04-27,60.05341785885467
2000-04-28,61.812407840012305
2000-05-01,55.43249499515737
2000-05-02,63.145307704807784
2000-05-03,52.009046153232255
2000-05-04,36.36762380229751
2000-05-05,33.983622730585616
2000-05-08,45.4825141203908
2000-05-09,41.297634107172044
2000-05-10,35.60048089303707
2000-05-11,23.50057977485053
2000-05-12,34.208899139225004
2000-05-15,40.7591162320231
2000-05-16,56.862417228524876
2000-05-17,63.46788249459898
2000-05-18,54.22666022837033
2000-05-19,48.74037867509306
2000-05-22,33.840558580355726
2000-05-23,31.26176286339447
2000-05-24,20.955244657761497
2000-05-25,31.227251485810314
2000-05-26,24.271046747173834
2000-05-30,23.280517299522398
2000-05-31,43.546630725504585
2000-06-01,42.71291848693611
2000-06-02,57.23836517451611
2000-06-05,70.51477523938736
2000-06-06,65.92164087909345
2000-06-07,61.0151460398473
2000-06-08,67.22663508897794
2000-06-09,62.429510261444456
2000-06-12,59.93404782585645
2000-06-13,54.27553109981503
2000-06-14,65.6968369688525
2000-06-15,65.96747024203653
2000-06-16,69.40313268029625
2000-06-19,62.55571625370877
2000-06-20,72.03616117888262
2000-06-21,67.3702965820133
2000-06-22,68.53128389591396
2000-06-23,55.33052727498033
2000-06-26,49.788632114016664
2000-06-27,56.827608245450925
2000-06-28,54.314047025849064
2000-06-29,56.40509081815661
2000-06-30,49.977831988661706
2000-07-03,56.1932400689628
2000-07-05,63.42854649104228
2000-07-06,51.62434309667747
2000-07-07,56.893617623739054
2000-07-10,67.42669353647663
2000-07-11,65.67185214463015
2000-07-12,67.8224742446437
2000-07-13,72.6965006733708
2000-07-14,73.55177395932174
2000-07-17,78.48681555679266
2000-07-18,78.30002841423567
2000-07-19,71.52488376937434
2000-07-20,66.06464179726481
2000-07-21,71.75407270556178
2000-07-24,64.66282919214169
2000-07-25,56.7361406573398
2000-07-26,61.627758083241005
2000-07-27,50.444284260437
2000-07-28,49.013570439585266
2000-07-31,34.43970002434457
2000-08-01,39.86628765173854
2000-08-02,43.620068082259614
2000-08-03,44.02020545407701
2000-08-04,51.14027144826005
2000-08-07,56.36413997119016
2000-08-08,64.22855659686223
2000-08-09,65.62421988898043
2000-08-10,60.68882155360447
2000-08-11,54.257451123558845
2000-08-14,59.95468290821324
2000-08-15,68.94861352411532
2000-08-16,65.47426422477463
2000-08-17,63.10218432013861
2000-08-18,70.20493279287386
2000-08-21,68.02386830116741
2000-08-22,71.09290121092894
2000-08-23,70.22097682066648
2000-08-24,73.15707585419324
2000-08-25,73.75991227249155
2000-08-28,72.68982572134763
2000-08-29,75.34965982205519
2000-08-30,73.36267718416055
2000-08-31,70.05831603713443
2000-09-01,75.78235270240114
2000-09-05,76.57231650959287
2000-09-06,70.86479274505318
2000-09-07,64.00111758925485
2000-09-08,68.41356077534172
2000-09-11,64.54124393007493
2000-09-12,61.86256776996202
2000-09-13,58.16460594551134
2000-09-14,59.46051462970051
2000-09-15,57.3356082674061
2000-09-18,49.6915237026765
2000-09-19,39.14814529043539
2000-09-20,46.89972983841963
2000-09-21,42.68680934572769
2000-09-22,41.67450484615216
2000-09-25,41.64107750736823
2000-09-26,37.10840405765867
2000-09-27,31.913606541156582
2000-09-28,31.887819506358518
2000-09-29,47.32679107386148
2000-10-02,36.70564740353981
2000-10-03,36.771652653260176
2000-10-04,32.499343075627316
2000-10-05,36.336978124956964
2000-10-06,37.46272917488339
2000-10-09,25.802336695070494
2000-10-10,23.488067586246608
2000-10-11,18.73987540968198
2000-10-12,13.01369071727217
2000-10-13,7.052794494809145
2000-10-16,16.269891730692333
2000-10-17,16.735060539992585
2000-10-18,11.080996475881738
2000-10-19,9.871157406875097
2000-10-20,22.66731993676118
2000-10-23,26.08195484470752
2000-10-24,25.93727522121249
2000-10-25,27.187514642577902
2000-10-26,16.11606442028207
2000-10-27,16.324590608554107
2000-10-30,21.425171228188876
2000-10-31,29.13895497207455
2000-11-01,43.90759508219787
2000-11-02,39.92256764062777
2000-11-03,43.61607745711179
2000-11-06,42.89513143225821
2000-11-07,45.788164949679846
2000-11-08,45.69152410482172
2000-11-09,34.67531069351586
2000-11-10,30.766049165393834
2000-11-13,18.23882761460755
2000-11-14,14.425611885719448
2000-11-15,24.946510569176734
2000-11-16,28.02168335848112
2000-11-17,21.599424870144645
2000-11-20,20.352416211339165
2000-11-21,13.449495943947088
2000-11-22,14.978381383102363
2000-11-24,9.73254379033443
2000-11-27,14.276802900486206
2000-11-28,16.569094327698934
2000-11-29,13.477496877061308
2000-11-30,15.31132064721632
2000-12-01,9.572140112512184
2000-12-04,9.91372001007787
2000-12-05,12.224398593069102
2000-12-06,29.590889959786935
2000-12-07,20.157415470659036
2000-12-08,17.935132230954075
2000-12-11,27.936252449923682
2000-12-12,32.79039680360478
2000-12-13,29.006924557209963
2000-12-14,24.689130675653576
2000-12-15,18.285096388415077
2000-12-18,11.127897397326269
2000-12-19,13.886172937061392
2000-12-20,10.362223760461214
2000-12-21,4.8077468784473165
2000-12-22,6.12520154685755
2000-12-26,11.568333718845908
2000-12-27,14.079492384670782
2000-12-28,18.368867049269443
2000-12-29,20.473219307347883
2001-01-02,16.364156348051495
2001-01-03,8.384937240381356
2001-01-04,27.04138752916179
2001-01-05,21.773922045884493
2001-01-08,11.894174538352086
2001-01-09,11.652574866486592
2001-01-10,13.118012878893648
2001-01-11,16.843852347316847
2001-01-12,21.689213532281464
2001-01-16,19.142931964451865
2001-01-17,22.338338990933178
2001-01-18,23.742292998062446
2001-01-19,31.999592574958946
2001-01-22,29.77235473373787
2001-01-23,30.21191621752765
2001-01-24,38.935029112284624
2001-01-25,41.10563432188258
2001-01-26,37.772794975487365
2001-01-29,36.67486709551363
2001-01-30,41.57271856393243
2001-01-31,46.74476913563228
2001-02-01,42.71314424506335
