,Value
2004-02-02,94.97887268097335
2004-02-03,94.97887268097335
2004-02-04,94.97887268097335
2004-02-05,94.97887268097335
2004-02-06,94.97887268097335
2004-02-09,94.97887268097335
2004-02-10,94.97887268097335
2004-02-11,94.97887268097335
2004-02-12,94.97887268097335
2004-02-13,94.97887268097335
2004-02-17,94.97887268097335
2004-02-18,94.97887268097335
2004-02-19,94.97887268097335
2004-02-20,94.97887268097335
2004-02-23,94.97887268097335
2004-02-24,94.97887268097335
2004-02-25,94.97887268097335
2004-02-26,94.97887268097335
2004-02-27,94.97887268097335
2004-03-01,96.64307767185176
2004-03-02,96.64307767185176
2004-03-03,96.64307767185176
2004-03-04,96.64307767185176
2004-03-05,96.64307767185176
2004-03-08,96.64307767185176
2004-03-09,96.64307767185176
2004-03-10,96.64307767185176
2004-03-11,96.64307767185176
2004-03-12,96.64307767185176
2004-03-15,96.64307767185176
2004-03-16,96.64307767185176
2004-03-17,96.64307767185176
2004-03-18,96.64307767185176
2004-03-19,96.64307767185176
2004-03-22,96.64307767185176
2004-03-23,96.64307767185176
2004-03-24,96.64307767185176
2004-03-25,96.64307767185176
2004-03-26,96.64307767185176
2004-03-29,96.64307767185176
2004-03-30,96.64307767185176
2004-03-31,94.97887268097335
2004-04-01,94.97887268097335
2004-04-02,94.97887268097335
2004-04-05,94.97887268097335
2004-04-06,94.97887268097335
2004-04-07,94.97887268097335
2004-04-08,94.97887268097335
2004-04-12,94.97887268097335
2004-04-13,94.97887268097335
2004-04-14,94.97887268097335
2004-04-15,94.97887268097335
2004-04-16,94.97887268097335
2004-04-19,94.97887268097335
2004-04-20,94.97887268097335
2004-04-21,94.97887268097335
2004-04-22,94.97887268097335
2004-04-23,94.97887268097335
2004-04-26,94.97887268097335
2004-04-27,94.97887268097335
2004-04-28,94.97887268097335
2004-04-29,94.97887268097335
2004-04-30,91.52894342692642
2004-05-03,91.52894342692642
2004-05-04,91.52894342692642
2004-05-05,91.52894342692642
2004-05-06,91.52894342692642
2004-05-07,91.52894342692642
2004-05-10,91.52894342692642
2004-05-11,91.52894342692642
2004-05-12,91.52894342692642
2004-05-13,91.52894342692642
2004-05-14,91.52894342692642
2004-05-17,91.52894342692642
2004-05-18,91.52894342692642
2004-05-19,91.52894342692642
2004-05-20,91.52894342692642
2004-05-21,91.52894342692642
2004-05-24,91.52894342692642
2004-05-25,91.52894342692642
2004-05-26,91.52894342692642
2004-05-27,91.52894342692642
2004-05-28,91.52894342692642
2004-06-01,72.71082163411296
2004-06-02,72.71082163411296
2004-06-03,72.71082163411296
2004-06-04,72.71082163411296
2004-06-07,72.71082163411296
2004-06-08,72.71082163411296
2004-06-09,72.71082163411296
2004-06-10,72.71082163411296
2004-06-14,72.71082163411296
2004-06-15,72.71082163411296
2004-06-16,72.71082163411296
2004-06-17,72.71082163411296
2004-06-18,72.71082163411296
2004-06-21,72.71082163411296
2004-06-22,72.71082163411296
2004-06-23,72.71082163411296
2004-06-24,72.71082163411296
2004-06-25,72.71082163411296
2004-06-28,72.71082163411296
2004-06-29,72.71082163411296
2004-06-30,91.52894342692642
2004-07-01,91.52894342692642
2004-07-02,91.52894342692642
2004-07-06,91.52894342692642
2004-07-07,91.52894342692642
2004-07-08,91.52894342692642
2004-07-09,91.52894342692642
2004-07-12,91.52894342692642
2004-07-13,91.52894342692642
2004-07-14,91.52894342692642
2004-07-15,91.52894342692642
2004-07-16,91.52894342692642
2004-07-19,91.52894342692642
2004-07-20,91.52894342692642
2004-07-21,91.52894342692642
2004-07-22,91.52894342692642
2004-07-23,91.52894342692642
2004-07-26,91.52894342692642
2004-07-27,91.52894342692642
2004-07-28,91.52894342692642
2004-07-29,91.52894342692642
2004-07-30,91.52894342692642
2004-08-02,75.39887164489481
2004-08-03,75.39887164489481
2004-08-04,75.39887164489481
2004-08-05,75.39887164489481
2004-08-06,75.39887164489481
2004-08-09,75.39887164489481
2004-08-10,75.39887164489481
2004-08-11,75.39887164489481
2004-08-12,75.39887164489481
2004-08-13,75.39887164489481
2004-08-16,75.39887164489481
2004-08-17,75.39887164489481
2004-08-18,75.39887164489481
2004-08-19,75.39887164489481
2004-08-20,75.39887164489481
2004-08-23,75.39887164489481
2004-08-24,75.39887164489481
2004-08-25,75.39887164489481
2004-08-26,75.39887164489481
2004-08-27,75.39887164489481
2004-08-30,75.39887164489481
2004-08-31,77.90261077798122
2004-09-01,77.90261077798122
2004-09-02,77.90261077798122
2004-09-03,77.90261077798122
2004-09-07,77.90261077798122
2004-09-08,77.90261077798122
2004-09-09,77.90261077798122
2004-09-10,77.90261077798122
2004-09-13,77.90261077798122
2004-09-14,77.90261077798122
2004-09-15,77.90261077798122
2004-09-16,77.90261077798122
2004-09-17,77.90261077798122
2004-09-20,77.90261077798122
2004-09-21,77.90261077798122
2004-09-22,77.90261077798122
2004-09-23,77.90261077798122
2004-09-24,77.90261077798122
2004-09-27,77.90261077798122
2004-09-28,77.90261077798122
2004-09-29,77.90261077798122
2004-09-30,93.46246665744273
2004-10-01,93.46246665744273
2004-10-04,93.46246665744273
2004-10-05,93.46246665744273
2004-10-06,93.46246665744273
2004-10-07,93.46246665744273
2004-10-08,93.46246665744273
2004-10-11,93.46246665744273
2004-10-12,93.46246665744273
2004-10-13,93.46246665744273
2004-10-14,93.46246665744273
2004-10-15,93.46246665744273
2004-10-18,93.46246665744273
2004-10-19,93.46246665744273
2004-10-20,93.46246665744273
2004-10-21,93.46246665744273
2004-10-22,93.46246665744273
2004-10-25,93.46246665744273
2004-10-26,93.46246665744273
2004-10-27,93.46246665744273
2004-10-28,93.46246665744273
2004-10-29,93.46246665744273
2004-11-01,89.0903178804387
2004-11-02,89.0903178804387
2004-11-03,89.0903178804387
2004-11-04,89.0903178804387
2004-11-05,89.0903178804387
2004-11-08,89.0903178804387
2004-11-09,89.0903178804387
2004-11-10,89.0903178804387
2004-11-11,89.0903178804387
2004-11-12,89.0903178804387
