,Bull-Bear Spread
2000-01-07,99.79068712490971
2000-01-10,99.79068712490971
2000-01-11,99.79068712490971
2000-01-12,99.79068712490971
2000-01-13,99.79068712490971
2000-01-14,98.32752593258915
2000-01-18,98.32752593258915
2000-01-19,98.32752593258915
2000-01-20,98.32752593258915
2000-01-21,98.0696942847005
2000-01-24,98.0696942847005
2000-01-25,98.0696942847005
2000-01-26,98.0696942847005
2000-01-27,98.0696942847005
2000-01-28,96.55437163718197
2000-01-31,96.55437163718197
2000-02-01,96.55437163718197
2000-02-02,96.55437163718197
2000-02-03,96.55437163718197
2000-02-04,93.5051077327268
2000-02-07,93.5051077327268
2000-02-08,93.5051077327268
2000-02-09,93.5051077327268
2000-02-10,93.5051077327268
2000-02-11,80.13892651145572
2000-02-14,80.13892651145572
2000-02-15,80.13892651145572
2000-02-16,80.13892651145572
2000-02-17,80.13892651145572
2000-02-18,57.51757274506871
2000-02-22,57.51757274506871
2000-02-23,57.51757274506871
2000-02-24,57.51757274506871
2000-02-25,73.78841011916346
2000-02-28,73.78841011916346
2000-02-29,73.78841011916346
2000-03-01,73.78841011916346
2000-03-02,73.78841011916346
2000-03-03,79.15015119666404
2000-03-06,79.15015119666404
2000-03-07,79.15015119666404
2000-03-08,79.15015119666404
2000-03-09,98.47228201681297
2000-03-10,98.47228201681297
2000-03-13,98.47228201681297
2000-03-14,98.47228201681297
2000-03-15,98.47228201681297
2000-03-16,98.47228201681297
2000-03-17,91.15734573824943
2000-03-20,91.15734573824943
2000-03-21,91.15734573824943
2000-03-22,91.15734573824943
2000-03-23,91.15734573824943
2000-03-24,98.9758369432339
2000-03-27,98.9758369432339
2000-03-28,98.9758369432339
2000-03-29,98.9758369432339
2000-03-30,98.9758369432339
2000-03-31,24.768450465760516
2000-04-03,24.768450465760516
2000-04-04,24.768450465760516
2000-04-05,24.768450465760516
2000-04-06,24.768450465760516
2000-04-07,92.41418199787563
2000-04-10,92.41418199787563
2000-04-11,92.41418199787563
2000-04-12,92.41418199787563
2000-04-13,92.41418199787563
2000-04-14,90.22077954817027
2000-04-17,90.22077954817027
2000-04-18,90.22077954817027
2000-04-19,90.22077954817027
2000-04-20,90.22077954817027
2000-04-24,98.39836625199227
2000-04-25,98.39836625199227
2000-04-26,98.39836625199227
2000-04-27,98.39836625199227
2000-04-28,99.07789268128964
2000-05-01,99.07789268128964
2000-05-02,99.07789268128964
2000-05-03,99.07789268128964
2000-05-04,99.07789268128964
2000-05-05,50.0
2000-05-08,50.0
2000-05-09,50.0
2000-05-10,50.0
2000-05-11,50.0
2000-05-12,61.41996427768949
2000-05-15,61.41996427768949
2000-05-16,61.41996427768949
2000-05-17,61.41996427768949
2000-05-18,61.41996427768949
2000-05-19,35.68643336208105
2000-05-22,35.68643336208105
2000-05-23,35.68643336208105
2000-05-24,35.68643336208105
2000-05-25,35.68643336208105
2000-05-26,46.03335321412479
2000-05-30,46.03335321412479
2000-05-31,46.03335321412479
2000-06-01,46.03335321412479
2000-06-02,60.276515381956855
2000-06-05,60.276515381956855
2000-06-06,60.276515381956855
2000-06-07,60.276515381956855
2000-06-08,60.276515381956855
2000-06-09,97.90818901092987
2000-06-12,97.90818901092987
2000-06-13,97.90818901092987
2000-06-14,97.90818901092987
2000-06-15,97.90818901092987
2000-06-16,92.41418199787564
2000-06-19,92.41418199787564
2000-06-20,92.41418199787564
2000-06-21,92.41418199787564
2000-06-22,92.41418199787564
2000-06-23,20.86635630077291
2000-06-26,20.86635630077291
2000-06-27,20.86635630077291
2000-06-28,20.86635630077291
2000-06-29,20.86635630077291
2000-06-30,20.86635630077291
2000-07-03,20.86635630077291
2000-07-05,20.86635630077291
2000-07-06,20.86635630077291
2000-07-07,98.24500775551756
2000-07-10,98.24500775551756
2000-07-11,98.24500775551756
2000-07-12,98.24500775551756
2000-07-13,98.24500775551756
2000-07-14,98.90130573694069
2000-07-17,98.90130573694069
2000-07-18,98.90130573694069
2000-07-19,98.90130573694069
2000-07-20,98.90130573694069
2000-07-21,99.57938813368088
2000-07-24,99.57938813368088
2000-07-25,99.57938813368088
2000-07-26,99.57938813368088
2000-07-27,99.57938813368088
2000-07-28,90.77109088402334
2000-07-31,90.77109088402334
2000-08-01,90.77109088402334
2000-08-02,90.77109088402334
2000-08-03,90.77109088402334
2000-08-04,85.05600023382355
2000-08-07,85.05600023382355
2000-08-08,85.05600023382355
2000-08-09,85.05600023382355
2000-08-10,85.05600023382355
2000-08-11,98.61017964454479
2000-08-14,98.61017964454479
2000-08-15,98.61017964454479
2000-08-16,98.61017964454479
2000-08-17,98.61017964454479
2000-08-18,98.3093399124792
2000-08-21,98.3093399124792
2000-08-22,98.3093399124792
2000-08-23,98.3093399124792
2000-08-24,96.95574963563655
2000-08-25,96.95574963563655
2000-08-28,96.95574963563655
2000-08-29,96.95574963563655
2000-08-30,96.95574963563655
2000-08-31,96.95574963563655
2000-09-01,97.86056105571241
2000-09-05,97.86056105571241
2000-09-06,97.86056105571241
2000-09-07,97.86056105571241
2000-09-08,99.55791823810146
2000-09-11,99.55791823810146
2000-09-12,99.55791823810146
2000-09-13,99.55791823810146
2000-09-14,99.55791823810146
2000-09-15,85.38347696026179
2000-09-18,85.38347696026179
2000-09-19,85.38347696026179
2000-09-20,85.38347696026179
2000-09-21,85.38347696026179
2000-09-22,92.41418199787564
2000-09-25,92.41418199787564
2000-09-26,92.41418199787564
2000-09-27,92.41418199787564
2000-09-28,92.41418199787564
2000-09-29,99.06778858602905
