,BAMLH0A0HYM2
2000-01-05,50.0
2000-01-06,43.5869022255971
2000-01-07,45.59797705764268
2000-01-10,41.30064273404449
2000-01-11,41.30064273404449
2000-01-12,43.79312665163589
2000-01-13,47.28527062474204
2000-01-14,48.29683380145239
2000-01-18,45.89126812415537
2000-01-19,45.923603527151144
2000-01-20,46.94274533543835
2000-01-21,45.979727535021325
2000-01-24,48.00795813289895
2000-01-25,48.00795813289895
2000-01-26,43.5936382505412
2000-01-27,44.13236296573709
2000-01-28,44.178325420868006
2000-01-31,44.755386348589255
2000-02-01,44.755386348589255
2000-02-02,41.391897043650154
2000-02-03,41.4586083375657
2000-02-04,42.007414217331615
2000-02-07,41.69774612236632
2000-02-08,41.69774612236632
2000-02-09,44.192962204356945
2000-02-10,44.23845857936775
2000-02-11,45.75687396818711
2000-02-14,44.832207705103215
2000-02-15,44.832207705103215
2000-02-16,41.46668254192857
2000-02-17,43.960349294458766
2000-02-18,42.54650895053017
2000-02-22,40.717825893266216
2000-02-23,40.789524795791785
2000-02-24,35.255438520016604
2000-02-25,39.07192848086384
2000-02-28,33.321731677285904
2000-02-29,33.321731677285904
2000-03-01,36.14365895136422
2000-03-02,33.103036545298885
2000-03-03,31.919086223418567
2000-03-06,31.318998535391845
2000-03-07,31.318998535391845
2000-03-08,32.749989380197675
2000-03-09,30.724388546149306
2000-03-10,30.43960319559677
2000-03-13,30.725891175325305
2000-03-14,30.725891175325305
2000-03-15,28.787062368443422
2000-03-16,25.78212582965539
2000-03-17,24.082262929674503
2000-03-20,21.959197805112723
2000-03-21,21.959197805112723
2000-03-22,21.7914117606728
2000-03-23,20.63400710756943
2000-03-24,19.22137151394522
2000-03-27,20.864940599423814
2000-03-28,20.864940599423814
2000-03-29,21.039476625792826
2000-03-30,18.086299200806792
2000-03-31,15.227972012988566
2000-04-03,13.869409651891946
2000-04-04,13.869409651891946
2000-04-05,13.339501926483694
2000-04-06,10.211465049682367
2000-04-07,10.370113654891188
2000-04-10,11.460656568905408
2000-04-11,11.460656568905408
2000-04-12,10.644549852871698
2000-04-13,12.007669620638234
2000-04-14,13.739864958476666
2000-04-17,11.859832565632738
2000-04-18,11.859832565632738
2000-04-19,13.809776071535328
2000-04-20,14.714405443317318
2000-04-24,14.258880079546831
2000-04-25,14.258880079546831
2000-04-26,13.713446882717866
2000-04-27,16.70756484934194
2000-04-28,16.88504185782665
2000-05-01,18.986290482786057
2000-05-02,14.470566151222524
2000-05-03,15.929419413532775
2000-05-04,17.20779672914663
2000-05-05,17.962815855991128
2000-05-08,19.52811063467293
2000-05-09,19.52811063467293
2000-05-10,20.02044668291153
2000-05-11,19.253933454608053
2000-05-12,17.348106097116478
2000-05-15,18.8943701143088
2000-05-16,18.8943701143088
2000-05-17,19.07149230207582
2000-05-18,18.044829591077598
2000-05-19,17.928603663769866
2000-05-22,16.56523727008736
2000-05-23,16.56523727008736
2000-05-24,15.14813737005285
2000-05-25,14.322283436131206
2000-05-26,14.01168922653655
2000-05-30,10.705541331339113
2000-05-31,10.676193977644937
2000-06-01,11.628489659615383
2000-06-02,11.589398846474358
2000-06-05,10.92746665221161
2000-06-06,10.92746665221161
2000-06-07,10.704671094353607
2000-06-08,11.45611795331638
2000-06-09,12.034948882643443
2000-06-12,13.719930481728127
2000-06-13,13.719930481728127
2000-06-14,13.195997163595491
2000-06-15,13.367507726060396
2000-06-16,12.8576931903162
2000-06-19,12.962841494653055
2000-06-20,12.962841494653055
2000-06-21,13.361660636846956
2000-06-22,14.489587141681104
2000-06-23,16.4890484618614
2000-06-26,19.18311138094988
2000-06-27,19.18311138094988
2000-06-28,17.568816737921416
2000-06-29,17.74649190040578
2000-06-30,18.217914060642787
2000-07-03,14.996803169024808
2000-07-05,14.422125456135277
2000-07-06,14.35111256408187
2000-07-07,14.525569050528347
2000-07-10,15.122497259269323
2000-07-11,15.122497259269323
2000-07-12,16.08572788304108
2000-07-13,17.089756131177865
2000-07-14,17.26737736369655
2000-07-17,20.05662844984365
2000-07-18,20.05662844984365
2000-07-19,22.91542810115387
2000-07-20,23.439454279843293
2000-07-21,23.251823216916574
2000-07-24,19.28801192222847
2000-07-25,19.28801192222847
2000-07-26,20.739162618427027
2000-07-27,20.265126606896562
2000-07-28,21.42573688851344
2000-07-31,18.900828776004193
2000-08-01,18.900828776004193
2000-08-02,15.933099158672553
2000-08-03,14.813856231190458
2000-08-04,14.490535651396137
2000-08-07,13.629772887299602
2000-08-08,13.629772887299602
2000-08-09,15.025773747013776
2000-08-10,14.947474992079341
2000-08-11,15.379516316449282
2000-08-14,15.740553788863066
2000-08-15,15.740553788863066
2000-08-16,14.883525067847508
2000-08-17,15.83634836607541
2000-08-18,16.01314797902107
2000-08-21,14.806109958031394
2000-08-22,14.806109958031394
2000-08-23,14.981450409246605
2000-08-24,15.414020594534511
2000-08-25,14.57413970747864
2000-08-28,15.179994402200341
2000-08-29,15.179994402200341
2000-08-30,16.96794962757927
2000-08-31,18.90344229376263
2000-09-01,19.70079930476274
2000-09-05,14.461725547574943
2000-09-06,14.390238342348077
2000-09-07,16.653069596303155
2000-09-08,17.970917955581378
2000-09-11,19.840431831406313
2000-09-12,19.840431831406313
2000-09-13,20.659463784452846
2000-09-14,20.508990114108418
2000-09-15,19.412310729405423
2000-09-18,21.380731827511656
2000-09-19,21.380731827511656
2000-09-20,19.92413524310772
2000-09-21,18.256014164933497
2000-09-22,17.844317703135925
2000-09-25,16.22658611749646
2000-09-26,16.22658611749646
2000-09-27,16.677657483114256
2000-09-28,14.997164210450808
2000-09-29,13.014395562053188
2000-10-02,10.99382267773909
2000-10-03,10.99382267773909
2000-10-04,11.156643315203407
2000-10-05,11.931719584901574
2000-10-06,11.479858207312521
2000-10-09,9.905311489586632
2000-10-10,9.905311489586632
2000-10-11,9.708680071486542
