,UMCSENT
2000-02-22,50.0
2000-02-23,50.0
2000-02-24,50.0
2000-02-25,50.0
2000-02-28,50.0
2000-02-29,50.0
2000-03-01,50.0
2000-03-02,50.0
2000-03-03,50.0
2000-03-06,50.0
2000-03-07,50.0
2000-03-08,50.0
2000-03-09,50.0
2000-03-10,50.0
2000-03-13,50.0
2000-03-14,50.0
2000-03-15,50.0
2000-03-16,50.0
2000-03-17,50.0
2000-03-20,50.0
2000-03-21,43.41681949406785
2000-03-22,43.41681949406785
2000-03-23,43.41681949406785
2000-03-24,43.41681949406785
2000-03-27,43.41681949406785
2000-03-28,43.41681949406785
2000-03-29,43.41681949406785
2000-03-30,43.41681949406785
2000-03-31,43.41681949406785
2000-04-03,43.41681949406785
2000-04-04,43.41681949406785
2000-04-05,43.41681949406785
2000-04-06,43.41681949406785
2000-04-07,43.41681949406785
2000-04-10,43.41681949406785
2000-04-11,43.41681949406785
2000-04-12,43.41681949406785
2000-04-13,43.41681949406785
2000-04-14,43.41681949406785
2000-04-17,43.41681949406785
2000-04-18,43.41681949406785
2000-04-19,43.41681949406785
2000-04-20,43.41681949406785
2000-04-24,13.708239602955668
2000-04-25,13.708239602955668
2000-04-26,13.708239602955668
2000-04-27,13.708239602955668
2000-04-28,13.708239602955668
2000-05-01,13.708239602955668
2000-05-02,13.708239602955668
2000-05-03,13.708239602955668
2000-05-04,13.708239602955668
2000-05-05,13.708239602955668
2000-05-08,13.708239602955668
2000-05-09,13.708239602955668
2000-05-10,13.708239602955668
2000-05-11,13.708239602955668
2000-05-12,13.708239602955668
2000-05-15,13.708239602955668
2000-05-16,13.708239602955668
2000-05-17,13.708239602955668
2000-05-18,13.708239602955668
2000-05-19,13.708239602955668
2000-05-22,27.975097362752955
2000-05-23,27.975097362752955
2000-05-24,27.975097362752955
2000-05-25,27.975097362752955
2000-05-26,27.975097362752955
2000-05-30,27.975097362752955
2000-05-31,27.975097362752955
2000-06-01,27.975097362752955
2000-06-02,27.975097362752955
2000-06-05,27.975097362752955
2000-06-06,27.975097362752955
2000-06-07,27.975097362752955
2000-06-08,27.975097362752955
2000-06-09,27.975097362752955
2000-06-12,27.975097362752955
2000-06-13,27.975097362752955
2000-06-14,27.975097362752955
2000-06-15,27.975097362752955
2000-06-16,27.975097362752955
2000-06-19,27.975097362752955
2000-06-20,27.975097362752955
2000-06-21,41.89681042638156
2000-06-22,41.89681042638156
2000-06-23,41.89681042638156
2000-06-26,41.89681042638156
2000-06-27,41.89681042638156
2000-06-28,41.89681042638156
2000-06-29,41.89681042638156
2000-06-30,41.89681042638156
2000-07-03,41.89681042638156
2000-07-05,41.89681042638156
2000-07-06,41.89681042638156
2000-07-07,41.89681042638156
2000-07-10,41.89681042638156
2000-07-11,41.89681042638156
2000-07-12,41.89681042638156
2000-07-13,41.89681042638156
