,^TNX
2000-01-04,50.0
2000-01-05,43.757912332663885
2000-01-06,55.087039563447426
2000-01-07,50.104264571008585
2000-01-10,45.63300773130783
2000-01-11,51.01762278968312
2000-01-12,61.36912872997535
2000-01-13,64.30201545999952
2000-01-14,56.84163206313788
2000-01-18,62.184768859372156
2000-01-19,68.78812087941186
2000-01-20,66.71768739032208
2000-01-21,68.6606436095371
2000-01-24,71.3540808275267
2000-01-25,62.774353705212135
2000-01-26,62.72559422138691
2000-01-27,62.303446615651815
2000-01-28,62.72326238043395
2000-01-31,59.167056651628805
2000-02-01,60.947168099704804
2000-02-02,56.072740861731354
2000-02-03,54.17633175110153
2000-02-04,41.98810907610121
2000-02-07,46.14167165530408
2000-02-08,57.4480597480043
2000-02-09,54.27623463187178
2000-02-10,61.055998261473455
2000-02-11,59.774526997854075
2000-02-14,56.34204589105655
2000-02-15,48.184490042089635
2000-02-16,49.48577191869568
2000-02-17,48.98992871207978
2000-02-18,51.18480344047711
2000-02-22,42.66787482278394
2000-02-23,29.817925162530823
2000-02-24,37.427427757534126
2000-02-25,30.26780220865819
2000-02-28,29.918819099337803
2000-02-29,36.425703180050775
2000-03-01,36.01687224442801
2000-03-02,33.36199078638037
2000-03-03,34.947026444634965
2000-03-06,32.772575894198596
2000-03-07,36.25699009038901
2000-03-08,33.94917756555512
2000-03-09,33.297174421753944
2000-03-10,30.418283337129193
2000-03-13,34.504554450341494
2000-03-14,32.345652026288874
2000-03-15,27.091904209514432
2000-03-16,25.47075182550155
2000-03-17,22.78012542641822
2000-03-20,19.54316009292485
2000-03-21,18.585437979933282
2000-03-22,16.704232054044628
2000-03-23,15.868422311215086
2000-03-24,13.463401443003736
2000-03-27,19.17270401729428
2000-03-28,20.59656848634115
2000-03-29,19.09836375127837
2000-03-30,17.923593360854145
2000-03-31,13.585906272253357
2000-04-03,11.815045070846036
2000-04-04,10.438296271540048
2000-04-05,6.188757482461643
2000-04-06,7.2806772823519825
2000-04-07,8.296529865436963
2000-04-10,6.561542976443841
2000-04-11,5.352657787701248
2000-04-12,7.429895935647429
2000-04-13,10.434641068982831
2000-04-14,8.655899191379568
2000-04-17,7.852764697560549
2000-04-18,11.645876737158133
2000-04-19,14.146514414020844
2000-04-20,11.117031042106706
2000-04-24,11.724819612213878
2000-04-25,11.76706360808566
2000-04-26,18.411562559971618
2000-04-27,19.29470816953242
2000-04-28,26.75796380807164
2000-05-01,25.226246098272696
2000-05-02,28.518219116327515
2000-05-03,33.44463808701062
2000-05-04,41.998174474361484
2000-05-05,46.25091833861554
2000-05-08,52.33280388887046
2000-05-09,57.54593335144646
2000-05-10,53.97962172291144
2000-05-11,45.32056507952126
2000-05-12,42.39699477222725
2000-05-15,51.43144644327874
2000-05-16,47.54366616798599
2000-05-17,41.94502865120834
2000-05-18,47.98340784896421
2000-05-19,56.224790297505514
2000-05-22,52.743502397543
2000-05-23,43.705194045007744
2000-05-24,46.29331586536553
2000-05-25,47.59798924213927
2000-05-26,39.117378320550515
2000-05-30,34.34889009826141
2000-05-31,38.74723469606808
2000-06-01,31.371391540989237
2000-06-02,24.264186667422095
2000-06-05,21.065913483361616
2000-06-06,18.198850798896732
2000-06-07,19.887377533710517
2000-06-08,19.161064695966452
2000-06-09,18.699017016385966
2000-06-12,19.279529941854122
2000-06-13,17.113202215485007
2000-06-14,18.72859485732265
2000-06-15,15.434447021156428
2000-06-16,15.315463280929198
2000-06-19,12.194288794015085
2000-06-20,13.208895191931724
2000-06-21,14.486004771109673
2000-06-22,19.066401449485653
2000-06-23,20.226420803475463
2000-06-26,24.754547954554372
2000-06-27,19.247623953144753
2000-06-28,18.302247170940305
2000-06-29,19.997579330743775
2000-06-30,15.819165097094501
2000-07-03,15.227555130817127
2000-07-05,13.453950988120072
2000-07-06,13.35521444001001
2000-07-07,16.20135102203796
2000-07-10,14.526661047055178
2000-07-11,16.11619404271154
2000-07-12,17.431135527337666
2000-07-13,19.25341022885424
2000-07-14,14.597222758672624
2000-07-17,20.53599507951268
2000-07-18,24.221876921757474
2000-07-19,23.94092659706978
2000-07-20,24.685642781569893
2000-07-21,16.019084387082145
2000-07-24,15.42058975300874
2000-07-25,16.85986366649178
2000-07-26,16.726181466746333
2000-07-27,16.81562337763226
2000-07-28,15.762145364477774
2000-07-31,17.225327912284307
2000-08-01,17.54418723980215
2000-08-02,15.54140319834461
2000-08-03,14.508946827661656
2000-08-04,13.398585567260612
2000-08-07,11.608588599078573
2000-08-08,13.768211678799219
2000-08-09,12.31633535370023
2000-08-10,12.186417132497812
2000-08-11,6.910810351936569
2000-08-14,7.997548689412276
2000-08-15,7.609163813563074
2000-08-16,8.539773597286304
2000-08-17,9.162305347442478
2000-08-18,8.81358709233584
2000-08-21,7.736656961049154
2000-08-22,7.952183067703772
2000-08-23,7.763365903915476
2000-08-24,6.834008979220957
2000-08-25,6.673884860224167
2000-08-28,6.866069839999245
2000-08-29,8.182855328969401
2000-08-30,9.614811379683175
2000-08-31,9.417406968810127
2000-09-01,7.326856071717663
2000-09-05,6.0509366951800985
2000-09-06,6.2989906051504345
2000-09-07,7.086969470692667
2000-09-08,8.198156148834235
2000-09-11,7.5460901031372485
2000-09-12,8.625675844880105
2000-09-13,9.087559632580561
2000-09-14,7.862876151942288
2000-09-15,9.380510284030336
2000-09-18,11.671393590965728
2000-09-19,13.418499072987
2000-09-20,12.557390840464116
2000-09-21,14.60909185102947
2000-09-22,13.678971742491559
2000-09-25,11.897339212635643
2000-09-26,12.150462488672387
2000-09-27,10.85324584143902
2000-09-28,11.776710652178373
2000-09-29,11.531318703607829
2000-10-02,10.294663428343792
2000-10-03,12.03699220533278
2000-10-04,14.261447103419671
2000-10-05,15.617329842013294
2000-10-06,13.804301242133949
2000-10-09,12.177564085867326
2000-10-10,12.262165802484681
2000-10-11,11.469626604650813
2000-10-12,10.573310395196462
2000-10-13,8.740944189576371
2000-10-16,8.815929131199857
2000-10-17,9.731732039792501
2000-10-18,7.465397734157459
2000-10-19,7.316036996390151
2000-10-20,7.249967588096206
2000-10-23,6.897901757107361
2000-10-24,5.693475322353364
2000-10-25,6.706481022532717
2000-10-26,8.539742628884584
2000-10-27,8.21490027778225
2000-10-30,9.513644943025579
2000-10-31,10.19493131267465
2000-11-01,11.389797866926605
2000-11-02,10.649979174683931
2000-11-03,10.884655092309947
2000-11-06,13.71452897709326
2000-11-07,16.401165050146737
2000-11-08,16.711148485782306
2000-11-09,16.305319839924636
2000-11-10,14.227973538568166
2000-11-13,13.692080046181182
2000-11-14,12.247367453509488
2000-11-15,11.618345500327631
