,Breadth Ratio
2000-03-15,15.292074213060092
2000-03-16,27.836479485462473
2000-03-17,51.40941784630314
2000-03-20,55.79048646371865
2000-03-21,43.05313759988881
2000-03-22,62.36809539414199
2000-03-23,72.26501102557927
2000-03-24,70.61706640724559
2000-03-27,64.2323154664854
2000-03-28,65.73778656768063
2000-03-29,58.91046991819366
2000-03-30,54.34079814999874
2000-03-31,44.1775911149803
2000-04-03,53.29627597768649
2000-04-04,44.96409157240955
2000-04-05,35.67195047874873
2000-04-06,40.71199753840777
2000-04-07,35.83374708268375
2000-04-10,44.241140516546544
2000-04-11,35.08980594191405
2000-04-12,27.00930958667157
2000-04-13,17.94723151008529
2000-04-14,16.530450373598825
2000-04-17,7.568114976118317
2000-04-18,12.628884547508335
2000-04-19,20.81292580930289
2000-04-20,14.720301475347375
2000-04-24,11.041744322873475
2000-04-25,13.085901252952075
2000-04-26,23.127427078749907
2000-04-27,15.79249280807295
2000-04-28,20.935883352177903
2000-05-01,17.61420858078705
2000-05-02,24.521406261886064
2000-05-03,18.272694632977565
2000-05-04,10.509798846197288
2000-05-05,7.879078380344751
2000-05-08,13.731789410349426
2000-05-09,11.551988664977925
2000-05-10,8.236800059565452
2000-05-11,4.930002382506482
2000-05-12,9.505925907131346
2000-05-15,13.023772452537614
2000-05-16,12.783419720857642
2000-05-17,20.181336140200035
2000-05-18,13.138966917566181
2000-05-19,10.054428106097557
2000-05-22,5.693077566099608
2000-05-23,3.788419380711594
2000-05-24,2.3844027395232725
2000-05-25,3.918284073840872
2000-05-26,2.524932932567514
2000-05-30,2.163554434248999
2000-05-31,4.329234137962413
2000-06-01,2.9560202229494346
2000-06-02,5.618670116766
2000-06-05,9.59710651537209
2000-06-06,7.326756471148848
2000-06-07,8.960724074299003
2000-06-08,12.693674810524053
2000-06-09,10.380346438980537
2000-06-12,13.13205987082901
2000-06-13,9.532761578115934
2000-06-14,14.33036976256759
2000-06-15,12.236891395541594
2000-06-16,14.516473774425892
2000-06-19,10.966763151999393
2000-06-20,15.454288327257132
2000-06-21,17.647815293488694
2000-06-22,25.50517482676905
2000-06-23,17.733706846476814
2000-06-26,14.410636534109267
2000-06-27,18.332973708248822
2000-06-28,16.19046489805606
2000-06-29,20.27168197706814
2000-06-30,14.78348342850911
2000-07-03,17.456477942946318
2000-07-05,22.258518711677922
2000-07-06,16.091323529904056
2000-07-07,21.38530350868456
2000-07-10,29.547709960764845
2000-07-11,32.10096342950213
2000-07-12,28.00684997330124
2000-07-13,35.15381461847162
2000-07-14,29.346500789326058
2000-07-17,34.99828297228568
2000-07-18,39.73080545257854
2000-07-19,30.56917488784921
2000-07-20,21.47003372415598
2000-07-21,27.809936094272963
2000-07-24,19.708854803036967
2000-07-25,14.42158992352407
2000-07-26,16.365041655637814
2000-07-27,12.62078348743308
2000-07-28,14.09579902985707
2000-07-31,10.666900498128328
2000-08-01,14.608867740496134
2000-08-02,13.756879528551908
2000-08-03,13.347185192066096
2000-08-04,16.986220134945796
2000-08-07,15.536259137134484
2000-08-08,23.228688672155624
2000-08-09,23.751156264995128
2000-08-10,27.316536591763054
2000-08-11,25.434316089814345
2000-08-14,33.880959268062426
2000-08-15,37.01394064370782
2000-08-16,30.10764071341499
2000-08-17,30.494837022875178
2000-08-18,38.2887902804425
2000-08-21,33.88344876543895
2000-08-22,37.66979714773988
2000-08-23,44.665139337793285
2000-08-24,49.467096333558565
2000-08-25,55.873500061159945
2000-08-28,58.08568943188619
2000-08-29,65.95962410655972
2000-08-30,67.35994146515314
2000-08-31,69.20496664356168
2000-09-01,73.25426070237839
2000-09-05,77.94035051274128
2000-09-06,72.84392397938291
2000-09-07,66.18077622152141
2000-09-08,72.75980295486842
2000-09-11,66.60531392143511
2000-09-12,61.37486301596956
2000-09-13,55.73081365185336
2000-09-14,60.30494290874984
2000-09-15,50.526779959424736
2000-09-18,42.65159314297421
2000-09-19,41.98688105071252
2000-09-20,41.87413368631546
2000-09-21,41.707512835807094
2000-09-22,32.01235109541681
2000-09-25,27.20519197375313
2000-09-26,26.324427090908763
2000-09-27,22.715707380834395
2000-09-28,20.399092491579296
2000-09-29,30.643900898698483
2000-10-02,18.43574039362416
2000-10-03,11.874911680210316
2000-10-04,7.787375140971742
2000-10-05,10.930114918787703
2000-10-06,8.11439179394619
2000-10-09,8.36743426707976
2000-10-10,5.990138661978195
2000-10-11,4.37933609472902
2000-10-12,3.103713582680184
2000-10-13,3.6271275935664926
2000-10-16,6.0676567719306735
2000-10-17,4.434025936052382
2000-10-18,3.198546457855028
2000-10-19,2.962358654378261
2000-10-20,2.6285608336200528
2000-10-23,4.018151439602518
2000-10-24,4.951168270542633
2000-10-25,3.749263859390201
2000-10-26,2.3951137200125148
2000-10-27,2.9008937662144407
2000-10-30,4.43045315080956
2000-10-31,7.146744299219831
2000-11-01,11.013216630014627
2000-11-02,12.695797971061113
2000-11-03,16.303289615892343
2000-11-06,13.226200459953684
