Price,Close,High,Low,Open,Volume
Ticker,LII,LII,LII,LII,LII
Date,,,,,
2023-12-26,442.3513793945313,443.5310119531516,437.0777617666526,440.2795956386427,101500
2023-12-27,445.0575866699219,447.4168517133039,442.8668535231994,442.8668535231994,128200
2023-12-28,444.5706787109375,445.99169173674375,442.9906667672452,442.9906667672452,85300
2023-12-29,444.7097778320313,448.1281787057689,443.1695232200022,443.5769522554936,98700
2024-01-02,438.3400268554688,443.7260052063705,434.96138328496426,439.6815555701236,126800
2024-01-03,427.2402038574219,433.8384923571412,425.17324818815297,433.8384923571412,197900
2024-01-04,427.9059753417969,435.9849279607734,423.0168874027038,425.5806729816024,191800
2024-01-05,427.8861389160156,431.5132129509827,425.6304041272315,425.9583185736927,223400
2024-01-08,432.5367126464844,433.0733302096451,427.06133329377263,431.463507846106,146400
2024-01-09,440.4566650390625,441.18209192193456,430.1915456099412,430.5989746543535,203100
2024-01-10,441.281494140625,444.21295158233175,438.7375719458801,441.609408580362,213000
2024-01-11,438.9561767578125,441.80814980157567,432.5367203560232,437.8431843002485,205000
2024-01-12,428.0252380371094,441.77832599444326,424.02054567112384,441.77832599444326,370700
2024-01-16,431.1654052734375,431.19521567560525,420.0853973613096,423.3746098129064,383600
2024-01-17,430.4101867675781,433.7093462725248,427.6874021642862,427.6874021642862,215400
2024-01-18,438.3301086425781,438.63815956449406,430.0822104846633,433.4310739672642,205400
2024-01-19,441.2615661621094,441.4106484945756,433.3118023374502,437.8928695109001,216900
2024-01-22,451.78509521484375,455.25316999826384,444.7296737161813,444.7296737161813,212700
2024-01-23,439.5623168945313,454.1501263758879,434.5639040543876,449.9864351063076,300700
2024-01-24,429.9729309082031,442.7322986474682,426.4650987126992,442.7322986474682,292400
2024-01-25,436.7203063964844,437.0184104230281,428.9990785236205,433.56025208540206,251700
2024-01-26,441.4603576660156,454.120347864167,424.586971682454,437.2370452966728,678500
2024-01-29,434.325439453125,442.07644745902815,431.6125714880869,442.07644745902815,590300
2024-01-30,444.9383544921875,445.5246459488876,429.34687739948464,430.4797333275087,627100
2024-01-31,425.4713745117188,447.7307077298504,425.183187074376,432.268419118048,581200
2024-02-01,421.9436340332031,429.50586257622,415.2261042804623,425.173225559348,575000
2024-02-02,417.3427429199219,420.01585346801966,411.9269541110981,418.87305064208863,421600
2024-02-05,420.0456848144531,422.6194173765505,409.50229410486736,415.46461735091526,374000
2024-02-06,422.6094665527344,423.305083055375,418.42591160510216,418.5551001263878,244400
2024-02-07,435.0111083984375,441.4901553289727,423.5336180950558,428.4923041554854,286700
2024-02-08,445.53460693359375,448.0089613558944,435.8160213361196,436.4519867076029,284800
2024-02-09,454.2594299316406,455.2233399722046,445.4252406569322,446.1804778962024,252800
2024-02-12,447.2835388183594,453.4346714023743,442.881364093408,453.4346714023743,287200
2024-02-13,429.87353515625,435.4880497554177,420.4331906763592,432.03983850604095,486300
2024-02-14,444.1334533691406,446.03146320886526,434.1266804154394,435.9452059566689,254600
2024-02-15,448.466064453125,449.2312486722085,440.5461105913602,445.69360600048367,215900
2024-02-16,445.59423828125,452.0236114934284,442.1658902317013,445.88242573383616,211800
2024-02-20,446.0414123535156,446.2401686031784,439.9598471555645,442.0665299678277,208600
2024-02-21,445.8625183105469,450.8907417458407,441.6690164779481,447.164289773482,230400
2024-02-22,453.8619689941406,457.06175017566585,449.5193849916872,449.5193849916872,156200
2024-02-23,456.4059143066406,459.49637062280783,452.9676194111034,456.07796954663127,232300
2024-02-26,460.3907165527344,461.34471011099686,454.3091516670468,456.6742114172463,199600
2024-02-27,466.09466552734375,466.9890079000976,459.08891790122993,462.2390251871749,258400
2024-02-28,468.7380065917969,471.9576515452324,461.86144688061967,465.4885209082527,231700
2024-02-29,468.25103759765625,471.9973833655378,463.5805693506216,471.35144076697645,306100
2024-03-01,469.9801330566406,473.6568807928372,465.9853571492026,467.16788699657474,237900
2024-03-04,475.0281982421875,479.132268662922,471.36136725725646,471.36136725725646,215200
2024-03-05,469.4136657714844,474.3325637483883,468.1516214055012,473.7959765460693,208100
2024-03-06,472.1265258789063,476.89640241062494,469.73168619279215,474.49158548939965,247400
2024-03-07,478.3572082519531,480.12602963655473,472.7725035542541,474.61086233037065,200400
2024-03-08,467.7839660644531,482.2823441359789,464.3457017168677,478.9732683021195,266600
2024-03-11,459.7845458984375,465.8561636673346,454.65694441991263,465.8561636673346,246100
2024-03-12,466.3232116699219,468.99632226136,459.12868489941866,461.7322277771005,141300
2024-03-13,467.6647338867188,473.14014351123456,464.3655745694524,465.87604912845967,149300
2024-03-14,466.4425048828125,475.8530094058813,460.0429420960523,468.0721908200794,270700
2024-03-15,469.1155700683594,471.18252573394255,462.73590130799766,463.2923823735138,390600
2024-03-18,469.6422424316406,474.7797908856724,468.002609631739,472.0967333396924,253000
2024-03-19,479.9570617675781,480.39430122019166,465.5779247045267,465.5779247045267,171400
2024-03-20,485.6808776855469,485.7305515784627,477.50254733423935,482.1233717612084,143400
2024-03-21,496.12493896484375,498.5694830633739,486.1479760014087,489.8644812100463,237300
2024-03-22,490.7488708496094,494.872804824626,487.30065953066514,494.6541851034329,218100
2024-03-25,485.9392700195313,490.9973037109523,481.1296664523997,490.5004434623733,165200
2024-03-26,481.0402221679688,488.49312616386896,480.8812535695536,485.8001520112813,222100
2024-03-27,484.725341796875,485.8010212184651,478.4406870558604,484.0879280316824,150900
2024-03-28,486.7970275878906,487.9722811185984,483.6297761613056,485.0440864607252,139800
2024-04-01,482.2154846191406,488.8985269126526,480.7912351851974,488.8985269126526,145800
2024-04-02,476.1997680664063,479.68571135523257,470.5127090972391,479.68571135523257,212400
2024-04-03,479.376953125,481.8868213209861,475.1440220387654,476.32924517451215,206100
2024-04-04,464.1184387207031,484.6058309047887,463.1722724343833,484.6058309047887,252500
2024-04-05,478.3112487792969,481.2494131374351,466.0506906740722,466.0506906740722,240300
2024-04-08,482.8130798339844,485.82093973864255,476.13997672433214,481.2394085286583,189500
2024-04-09,479.6956481933594,485.1436804060162,468.8394316278031,484.1178183810924,218000
2024-04-10,465.2638854980469,471.90708040251326,458.5409948686168,466.3594433586841,241400
2024-04-11,463.0926208496094,468.45101857662337,459.2281988281191,467.8335134815424,192300
2024-04-12,469.2677001953125,470.24377519774447,458.5708446086069,459.6066458085221,300000
2024-04-15,460.1245727539063,479.307198651153,458.9692279841585,476.2794300080326,159700
2024-04-16,459.1385498046875,461.0010345970596,451.9176674501887,456.857768848848,234300
2024-04-17,456.0111389160156,461.02093566498576,453.0231878435879,460.4034306398856,323100
2024-04-18,456.7980041503906,465.214048646221,456.30001227270793,460.5926998267318,231900
2024-04-19,455.31396484375,462.4452121350471,452.7542793136382,457.0270581080841,218900
2024-04-22,457.4454040527344,466.20007969454,455.5629800974231,458.371661683913,394100
2024-04-23,474.7456359863281,477.63398289222647,457.6744592721694,459.6963051457995,550600
2024-04-24,465.9709777832031,497.26476845879336,454.7263133560877,468.31154554544736,609700
2024-04-25,473.59027099609375,478.90882054978414,448.0632027351424,461.69822264295055,532200
2024-04-26,475.1938171386719,482.42466926692754,474.8751254222716,476.8870017599207,272000
2024-04-29,475.39300537109375,480.2733197090807,471.0106829123914,477.0662507906872,319000
2024-04-30,461.5587768554688,479.0482480908181,460.931302265036,474.5563519043952,270100
2024-05-01,453.322021484375,463.5308554567459,449.9555913697959,461.99703189078105,600300
2024-05-02,453.9594421386719,456.5689147017091,443.8402435864652,456.5689147017091,305100
