,0
2000-01-04,43.3623907683988
2000-01-05,21.44661013879586
2000-01-06,24.83706183910213
2000-01-07,45.115709579642854
2000-01-10,64.02190928484308
2000-01-11,68.40761587008721
2000-01-12,66.82145965712863
2000-01-13,66.55734515084677
2000-01-14,71.57459026021485
2000-01-18,76.06566172114422
2000-01-19,72.57821036474816
2000-01-20,72.28235495364595
2000-01-21,69.64506790866541
2000-01-24,71.34535444287955
2000-01-25,54.9074522539731
2000-01-26,57.97532095829786
2000-01-27,57.56631142938723
2000-01-28,55.63962516086747
2000-01-31,41.87138357414059
2000-02-01,50.025205518212246
2000-02-02,53.82969406822538
2000-02-03,53.92530524575597
2000-02-04,55.69848451852798
2000-02-07,57.440005145165344
2000-02-08,57.38206168134119
2000-02-09,63.54120274736898
2000-02-10,56.008410711316095
2000-02-11,52.24138848806245
2000-02-14,42.716351991004935
2000-02-15,41.4628356324208
2000-02-16,46.94075949165612
2000-02-17,47.943329850348015
2000-02-18,43.101003077234935
2000-02-22,31.432718230053258
2000-02-23,29.532315352115248
2000-02-24,34.7085213916144
2000-02-25,35.78605943706932
2000-02-28,31.49580186716159
2000-02-29,35.21194118609232
2000-03-01,40.27533730393778
2000-03-02,44.311064385996396
2000-03-03,47.01653967533637
2000-03-06,52.731765451391546
2000-03-07,47.374571159734195
2000-03-08,37.21756898664504
2000-03-09,43.25370942290244
2000-03-10,50.112396436309666
2000-03-13,52.743308847461115
2000-03-14,46.85068483096182
2000-03-15,32.36888363071736
2000-03-16,41.36614246597172
2000-03-17,62.01835389848935
2000-03-20,57.96859323645065
2000-03-21,50.15162080263635
2000-03-22,61.35708424396097
2000-03-23,63.141111649183166
2000-03-24,64.94904690919685
2000-03-27,63.14604099084321
2000-03-28,60.23098118473632
2000-03-29,56.50087066407624
2000-03-30,57.221345629315664
2000-03-31,32.76476192455444
2000-04-03,38.544363366756905
2000-04-04,37.62999479545846
2000-04-05,29.10441436404311
2000-04-06,26.921235982874293
2000-04-07,43.188841586999274
2000-04-10,50.706192707819866
2000-04-11,44.7550482212421
2000-04-12,41.40656423722262
2000-04-13,35.37689549755123
2000-04-14,30.620818567955137
2000-04-17,16.80768376853459
2000-04-18,22.21699315252261
2000-04-19,33.77231309019021
2000-04-20,28.147774510671177
2000-04-24,27.760530055952632
2000-04-25,25.893122506954903
2000-04-26,39.50632861078652
2000-04-27,33.41973352443076
2000-04-28,37.789436698042365
2000-05-01,35.171657448611235
2000-05-02,39.7738114326157
2000-05-03,32.78774486738768
2000-05-04,26.284554950108323
2000-05-05,19.305124471581948
2000-05-08,26.44328367690741
2000-05-09,25.31893728190633
2000-05-10,22.55943113160624
2000-05-11,18.12562262649561
